iter	RMSE
0	35.83295328
1	35.43568589
2	35.16257907
3	34.95827619
4	34.64920573
5	34.36191402
6	34.04177841
7	33.76037219
8	33.51405545
9	33.17789563
10	32.96572723
11	32.76502435
12	32.54761193
13	32.33914318
14	32.16893509
15	31.94092646
16	31.77129198
17	31.60748699
18	31.45006198
19	31.28356047
20	31.12517976
21	30.98368702
22	30.81499912
23	30.68180615
24	30.40291091
25	30.30130683
26	30.18127547
27	29.93301677
28	29.78730119
29	29.55749089
30	29.40344364
31	29.23975811
32	29.04897614
33	28.96544781
34	28.76117019
35	28.63695151
36	28.5270494
37	28.38496042
38	28.29615646
39	28.1417268
40	28.03954985
41	27.94026308
42	27.82717303
43	27.73545187
44	27.64941001
45	27.58439824
46	27.48585255
47	27.45413518
48	27.38491602
49	27.30137394
50	27.18594913
51	27.11729912
52	27.02707228
53	26.9704539
54	26.94347134
55	26.88233668
56	26.82378228
57	26.74310721
58	26.65070537
59	26.57324739
60	26.45199516
61	26.40160434
62	26.35424095
63	26.31009979
64	26.25068444
65	26.19293308
66	26.15796042
67	26.11457298
68	26.07195611
69	26.00038117
70	25.91184601
71	25.86374688
72	25.818527
73	25.7558457
74	25.70637654
75	25.61994726
76	25.57615389
77	25.53168215
78	25.4906926
79	25.45863849
80	25.38840822
81	25.31958276
82	25.29336573
83	25.24503295
84	25.20915598
85	25.14521417
86	25.11909171
87	25.09281786
88	25.06434207
89	25.01400595
90	24.97246155
91	24.93666076
92	24.88456197
93	24.84625131
94	24.77944695
95	24.73114953
96	24.68324345
97	24.61573618
98	24.57404172
99	24.54437391
100	24.51621845
101	24.48618326
102	24.42695795
103	24.38940033
104	24.32981388
105	24.28611198
106	24.25935824
107	24.19850836
108	24.17931268
109	24.16203369
110	24.12785272
111	24.09987018
112	24.07944853
113	24.04994286
114	23.99213734
115	23.9497653
116	23.93292621
117	23.88250617
118	23.81810473
119	23.76904874
120	23.73397635
121	23.69410917
122	23.67102528
123	23.56786643
124	23.53458635
125	23.5070816
126	23.43022131
127	23.39465087
128	23.31373029
129	23.29583148
130	23.21102649
131	23.17889041
132	23.15023683
133	23.11964232
134	23.06340634
135	23.03166937
136	23.01041326
137	22.9709712
138	22.93336761
139	22.89603139
140	22.88748744
141	22.86650964
142	22.80575058
143	22.73838738
144	22.71675422
145	22.68304704
146	22.66251677
147	22.62618344
148	22.57834586
149	22.55631126
150	22.50900075
151	22.48504697
152	22.46201308
153	22.42627923
154	22.37738705
155	22.33582071
156	22.30804825
157	22.28782662
158	22.26598273
159	22.23577816
160	22.21015082
161	22.16541582
162	22.13055713
163	22.08224915
164	22.05371038
165	22.03095024
166	22.00955062
167	21.99587236
168	21.96630741
169	21.94264665
170	21.87966346
171	21.78471151
172	21.75336445
173	21.70973024
174	21.683269
175	21.66329415
176	21.65005636
177	21.63913996
178	21.62587086
179	21.6052584
180	21.59412206
181	21.54305533
182	21.5120088
183	21.49487433
184	21.42563369
185	21.39691282
186	21.38285546
187	21.35326863
188	21.32668692
189	21.30831733
190	21.27218861
191	21.25793401
192	21.23172685
193	21.20340766
194	21.17165549
195	21.11277064
196	21.05267506
197	21.04068059
198	21.02721126
199	20.95396248
200	20.93357325
201	20.89323992
202	20.83771817
203	20.79997337
204	20.77075276
205	20.73674809
206	20.69352758
207	20.67424078
208	20.64735232
209	20.6255694
210	20.57047469
211	20.55202169
212	20.49257356
213	20.4755714
214	20.40138442
