Feature,Importance
hemo,0.24825429171945368
pcv,0.2018611812979425
sc,0.16519756811341774
sg,0.10654351210350138
al,0.07817524471395217
htn,0.06607136828619779
bu,0.04002518764061597
bgr,0.03741290774860608
bp,0.016455010870988367
age,0.012643248772464442
su,0.00832004713941115
pe,0.007625474316933763
appet,0.006091392985572566
ane,0.002857149386174745
pcc_present,0.0011402545319342246
ba_present,0.0009688499696822938
cad,0.0003573104031510674
dm,0.0
